"Book","Top_Terms"
"Goodnight Moon","bunny, goodnight, room, little, chairs, clocks, goodnightin, kittens, lulling, mittens"
"The Lorax","arbor, backpack, betterits, briefcase, cautionary, lorax, lotnothing, miniedition, youcares, earth"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","beginning, antichrist…, apocalypseand, aziraphale, crowley, drowning, fastliving, fond, hopefully, itit’s"
"Blood Promise","dimitri, rose, strigoi, academy, wed, dead, vladimirs, promise, adorns, begged"
"Tess of the D'Urbervilles","tess, durbervilles, durbeyfield, portion, kinship, alec, downfall, clare, proves, peaceful"
"The Good Earth","lung, wang, hwang, agrarian, downfallhard, glories, nurtures, nurturing, rewarded, riot"
"Heart of Darkness","kurtz, marlow, ivory, charlie, darkness, blackwoods, colonialism, corruptive, downriver, earth”"
"The Battle of the Labyrinth","acquaintance, blockbuster, orientation, worsein, kronoss, cheerleaders, invasion, kronos, olympians, borders"
"A Midsummer Night's Dream","demetrius, lysander, helena, hermia, puck, titania, pursued, head, donkeys, dukes"
"Clockwork Princess","tessa, devices, infernal, mortmain, shadowhunters, jem, institute, enchantment, needs, trilogy"
"The Prophet","gibran’s, prophet, copiesthe, housing, kahlil, twentyeight, selfknowledge, buying, drinking, musings"
"The Mists of Avalon","avalon, mists, wielded, retold, vividly, arthur, achievement, throne, spellbinding, legend"
"The Titan's Curse","doomsday, halflion, oracle, chains, halfhuman, predicted, guess, combat, annabeth, goddess"
"The Sea of Monsters","riordans, sea, cliffhanger, comeback, installmentin, pageturners, surpassing, poseidon, mustread, episode"
"The Joy Luck Club","daughters, mothers, tan, astute, crises, immerse, mahjong, matriarchal, sensitivity, unknowingly"
"Alice in Wonderland","wonderland, alice, genre, fantasy, anthropomorphic, dodgson, examples, imagery, lutwidge, shortened"
"The Call of the Wild","londons, call, wild, alaskan, klondike, prospector, unbreakable, canadian, gold, regarded"
"Jonathan Livingston Seagull","gulls, special, dreamedjonathan, rulespeople, seagull, themselvespeople, right, livingston, reward, faster"
"Madame Bovary","bovary, flauberts, acute, adultery, banality, cest, delicacy, devourer, geoffrey, himemma"
"The Phantom Tollbooth","milo, ’s, click, herehailed, invention”, jumping, ticking, tock, tollbooth, watchdog"
"Bridge to Terabithia","jess, aarons, burke, everyonethats, fastest, leslie, outruns, terabithia, boldly, beats"
"The Hunger Games Trilogy Boxset","hunger, games, trilogy, boxset, catching, mockingjay, collins, suzanne, bestsellers, ground"
"Oh, the Places You'll Go!","seuss, balancing, blessedly, eightyseven, encouraging, fiftysix, grads, guaranteed, newlyminted, outstarting"
"The Girl Who Played with Fire","blomkvist, salander, exposé, pastfrom, procedural,  mikael, blistering, hacker, reporters, salander’s"
"The Maze Runner","ain’t, glade, remember, ’s, everchanging, hereif, shank, strangers—boys, surround, lift"
"The Neverending Story","fantastica, bastian, againthe, bibliophiles, childlike, empress, pagefront, foes, invitation, giants"
"Oliver Twist","penguin, oliver, thieves, classics, twist, philip, contemporary, artful, beadle, bentleys"
"Ulysses","buck, celtic, dedalus, dubliner, interior, leopold, monologues, mulligan, scintillating, vulgarity"
"Treasure Island","treasure, island, admiral, beckoning, benbow, chesterton, hawkins, horizons, inn, kindle"
"Fifty Shades of Grey","ana, grey’s, grey, christian, admits, businesses, desireserotic, family—grey, hesitates, intimidating"
"The Clan of the Cave Bear","ayla, clan, iza, auels, creb, izas, mogur, uglyshe, others, blueeyed"
"A Storm of Swords","kingdoms, army, seven, animated, barbaric, blooddrenched, contenders, disfavor, fictionof, herehere"
"The Canterbury Tales","chaucer, canterbury, tales, chaucers, wrote, friar, handwritten, printing, prioress, talesif"
"The World According to Garp","garp, sexual, famous, almostfamous, assassinations, countries—, extremes—, fields—, print—, undermine"
"A Farewell to Arms","farewell, arms, ambulance, caporetto, desertion—, inexorable, rewrote, thirtynine, weary, battlefield"
"David Copperfield","copperfield, david, betsey, enduringly, heep, impecunious, micawber, murdstone, phiz, revealingly"
"Tote Mädchen lügen nicht","hannah’s, clay, hannah, recorded, ’t, discovers, baker–, cassette, crisscrossing, crush–"
"Wicked: The Life and Times of the Wicked Witch of the West","wicked, witch, elphaba, maguire, west, rich, archnemesis, baums, evilan, evilgregory"
"Shōgun","japan, blackthorne, warlord, masterly, ways, bold, torn, saga, adventurer, aflame"
"Extremely Loud & Incredibly Close","oskar, amateur, bombings, boroughs, collector, entomologist, francophile, hiroshima, inward, jeweller"
"Murder on the Orient Express","compartment, insideisolated, orient, snowdrift, stabbed, tycoon, tracks, dozen, luxurious, murderer—"
"His Dark Materials","dead—, otherworlds, seriesthese, specters, spyglass, themphillip, armored, compass, newcomer, pullman’s"
"A Little Princess","sara, crewe, exceptionally, princess, allusions, appends, demeaned, evolved, indulgent, knoepflmacher"
"The Other Boleyn Girl","boleyn, mary, court, glamourous, handsa, kingwhen, unofficial, wane, competing, dazzled"
"Schindler's List","jews, cracow, drinker, nazioccupied, saviour, schindler, viveur, womaniser, industrialist, auschwitz"
"The Boy in the Striped Pajamas","bruno, fences, nineyearolds, nineyearold, sooner, exist, fence, arrive, encounter, isnt"
"Jurassic Park","jurassic, park, crichton, dna, extinct, taps, technothriller, cloning, dinosaur, eons"
"Last Sacrifice","dimitri, rose, law, adrian, broke, lissa, moroi, academy, dead, backand"
"The Night Circus","circus, celia, marco, game, acrobats, amazements, announcements, brush, cirque, duel"
"Fallen","daniel, aloof, cameras, grigorimysterious, luce—, moveeven, price’s, screwups, secret…, achingly"
"The Silmarillion","silmarillion, valinor, middleearth, feanor, morgoth, silmarils, jrr, trees, light, writing"
"The Secret Magdalene","mariamne, magdalene, salome, yeshua, illness, believe, alexandriaafter, apostle, apostlesfrom, astronomy"
"Beloved","morrison’s, sethe’s, belovedsethe, borne, engraved, incessantly, pastsethe, presentcombining, tombstone, unassailable"
"The Trial","trial, kafka’s, wedded, totalitarianism, bureaucracy, excesses, josef, charge, resonated, existential"
"A Confederacy of Dunces","ignatius, confederacy, dunces, ignatiuss, reilly, ears, kennedy, beneath, talented, miss"
"The Sun Also Rises","brett, hemingways, rises, jake, sun, generation, ashley, bankruptcy, bullfighting, dissolution"
"The Selection","palace, prince, aspen, attacksthen, compare, gowns, maxonbut, priceless, america, jewels"
"The Velveteen Rabbit","skin, horse, itlike, margery, reissue, toys—, understood, people—, playthings, nursery"
"Catching Fire","katniss, peeta, rebellion, capitols, createmuch, gale, ignitingflames, mellark, relieved, revengeagainst"
"The Lost Hero","leo, jason, halfblood, piper, camp, doesn’t, tools, trip, kids, missing"
"Throne of Glass","celaena, westfall, opponents, prince, assassin, captain, freedom, assassinher, bestthen, contestants"
"Spirit Bound","rose, dimitri, theyre, adrian, lissa, youre, wont, impossible, academy’s, deadafter"
"Clockwork Prince","tessa, magister, jem, charlotte, safety, shadowhunters, london, discovers, ballroom, blames"
"The Iliad/The Odyssey","fagles, iliad, odyssey, savor, listeners, achilles, knox, mastery, translators, classicist"
"The Crucible","miller, hysteria, salem, witchhunts, opposition, elizabeth, neighbor, political, abrogation, accuses"
"Cat's Cradle","felix, hoenikkers, atomic, crazed, dictator, ecentric, hoenikker, icenine, nigh, witnessing"
"The God of Small Things","esthappen, kochamma, marxist, rahel, itthe, ammu, arundhati, baron, bottompincher, cease"
"The Wind in the Willows","badger, boats, messing, mole, muchloved, raj, toad, retold, flees, carefully"
"The Screwtape Letters","screwtape, letters, cs , sly, strikingly, temptation—, vantage, entertains, foibles, lewiss"
"Girl with a Pearl Earring","earring, griet, vermeer, vermeers, dutch, pearl, assistant—, canvases, centuries—, chevaliers"
